continent,region,country,pop2018,cbr,cdr,rate_inc,netmig,projpop2030,projpop2050,imr,tfr,gnigdp,pcturban,popdens,pctwomcontra_all,pctwomcontra_mod,pctmalehiv,pctfemhiv,e0male,e0female,e65male,e65female,pctlt15_2018,pctlt15_2050,pct65p_2018,pct65p_2050
EUROPE,WESTERN EUROPE,Switzerland,8.5,10,8,0.2,6,9.5,10.3,3.5,1.5,65910,85,2138.0,73,69,,,82,85,20,23,15,14,18,29
ASIA,WESTERN ASIA,Syria,18.3,22,6,1.6,-21,26.6,34,17,2.9,,54,392.0,54,38,,,64,77,14,17,37,22,4,12
ASIA,EAST ASIA,Taiwan,23.6,9,7,0.2,0,24,22.7,3.9,1.2,,78,3986.0,,,,,77,84,19,21,13,12,13,35
ASIA,CENTRAL ASIA,Tajikistan,9.1,33,5,2.7,-2,10.7,12.9,27,3.8,3670,27,1241.0,29,27,0.4,0.1,68,74,13,17,35,27,3,9
AFRICA,EASTERN AFRICA,Tanzania,59.1,39,7,3.3,-1,83.7,138.1,43,5.2,2916,34,438.0,38,32,3.4,5.5,64,67,14,15,45,36,3,5
ASIA,SOUTHEAST ASIA,Thailand,66.2,11,8,0.2,0,66.7,62.6,10,1.5,17090,50,394.0,78,76,1.2,1,72,79,17,20,17,13,12,29
ASIA,SOUTHEAST ASIA,Timor-Leste,1.2,30,7,2.3,-8,1.5,1.9,30,4.2,6330,31,798.0,26,24,,,67,71,13,14,39,33,6,5
AFRICA,WESTERN AFRICA,Togo,8,34,9,2.5,0,10.5,15.3,52,4.5,1620,42,302.0,20,17,1.5,2.7,59,61,12,12,42,32,3,5
OCEANIA,OCEANIA,Tonga,0.1,24,6,1.8,-10,0.1,0.1,19,3.6,6050,23,554.0,34,28,,,70,76,13,18,36,28,6,10
NORTHERN AMERICA,CARIBBEAN,Trinidad and Tobago,1.4,13,8,0.5,-1,1.4,1.4,13,1.6,30520,53,5450.0,40,38,1.4,0.8,70,76,13,17,19,16,10,21
AFRICA,NORTHERN AFRICA,Tunisia,11.6,19,6,1.4,0,12.7,13.8,15,2.3,11490,68,399.0,63,51,0.1,0.1,75,78,15,18,24,18,8,20
ASIA,WESTERN ASIA,Turkey,81.3,16,5,1.1,0,93.3,104.7,9,2.1,27550,75,394.0,74,47,,,75,81,15,19,24,17,9,21
ASIA,CENTRAL ASIA,Turkmenistan,5.9,26,7,1.9,-1,7,8.8,44,3.2,17320,52,303.0,50,47,,,64,71,13,15,31,23,4,11
OCEANIA,OCEANIA,Tuvalu,0,25,9,1.5,-12,0,0,10,3.6,5780,62,,31,22,,,67,72,,,33,,5,
AFRICA,EASTERN AFRICA,Uganda,44.1,41,9,3.2,-1,61.6,95.6,43,5.4,1820,24,639.0,42,36,4.5,7.3,62,64,13,14,48,36,3,4
